Cohort,Window,N,Mean_Div,SD,p
Arruda,3M,155,9.92,5.95,1.87e-46
Arruda,6M,73,15.39,6.85,4.99e-30
Arruda,12M,154,19.22,7.76,2.38e-67
Arruda,24M,0,—,—,—
Arruda,36M,0,—,—,—
Arruda,60M,0,—,—,—
Galvao,3M,89,10.23,5.20,3.48e-32
Galvao,6M,70,16.45,6.73,5.43e-31
Galvao,12M,96,21.21,6.81,7.11e-51
Galvao,24M,47,21.50,6.68,4.22e-26
Galvao,36M,19,19.96,9.32,2.53e-08
Galvao,60M,37,17.57,6.46,2.10e-18
Combined,3M,244,10.03,5.68,7.84e-77
Combined,6M,143,15.91,6.79,1.03e-59
Combined,12M,250,19.99,7.46,8.55e-116
Combined,24M,47,21.50,6.68,4.22e-26
Combined,36M,19,19.96,9.32,2.53e-08
Combined,60M,37,17.57,6.46,2.10e-18
