Cohort,Window,N,Improved,Stable,Worsened
Arruda,3M,246,22 (8.9%),219 (89.0%),5 (2.0%)
Arruda,6M,151,13 (8.6%),133 (88.1%),5 (3.3%)
Arruda,12M,268,26 (9.7%),237 (88.4%),5 (1.9%)
Arruda,24M,180,19 (10.6%),158 (87.8%),3 (1.7%)
Arruda,36M,109,6 (5.5%),101 (92.7%),2 (1.8%)
Arruda,60M,133,10 (7.5%),119 (89.5%),4 (3.0%)
Galvao,3M,332,33 (9.9%),296 (89.2%),3 (0.9%)
Galvao,6M,209,20 (9.6%),183 (87.6%),6 (2.9%)
Galvao,12M,283,26 (9.2%),254 (89.8%),3 (1.1%)
Galvao,24M,162,10 (6.2%),147 (90.7%),5 (3.1%)
Galvao,36M,54,4 (7.4%),48 (88.9%),2 (3.7%)
Galvao,60M,95,4 (4.2%),88 (92.6%),3 (3.2%)
Combined,3M,578,55 (9.5%),515 (89.1%),8 (1.4%)
Combined,6M,360,33 (9.2%),316 (87.8%),11 (3.1%)
Combined,12M,551,52 (9.4%),491 (89.1%),8 (1.5%)
Combined,24M,342,29 (8.5%),305 (89.2%),8 (2.3%)
Combined,36M,163,10 (6.1%),149 (91.4%),4 (2.5%)
Combined,60M,228,14 (6.1%),207 (90.8%),7 (3.1%)
