N,PRE,POST,Delta,CI95,p_ttest,p_wilcox,Sensitivity,Variable,Window
461,109.21 ± 18.29,112.44 ± 14.63,3.23,"[1.93, 4.53]",1.57e-06,1.05e-07,Sex=Feminino,eGFR_idx,12M
210,129.73 ± 24.59,112.65 ± 18.99,-17.09,"[-19.49, -14.69]",1.04e-31,8.78e-27,Sex=Feminino,eGFR_NI,12M
90,109.28 ± 16.34,112.25 ± 11.58,2.97,"[0.44, 5.50]",0.0235,0.0098,Sex=Masculino,eGFR_idx,12M
40,147.67 ± 30.91,130.15 ± 20.70,-17.51,"[-23.20, -11.83]",4.61e-07,5.84e-07,Sex=Masculino,eGFR_NI,12M
311,109.09 ± 17.06,112.07 ± 13.58,2.98,"[1.57, 4.39]",4.65e-05,1.79e-06,IMC_grp=1,eGFR_idx,12M
150,128.44 ± 21.72,112.08 ± 16.38,-16.36,"[-18.84, -13.87]",5.53e-26,2.11e-20,IMC_grp=1,eGFR_NI,12M
191,108.69 ± 20.57,112.82 ± 16.14,4.13,"[1.77, 6.49]",7.47e-04,3.83e-04,IMC_grp=2,eGFR_idx,12M
95,137.50 ± 31.12,119.50 ± 23.99,-18.00,"[-22.25, -13.74]",7.97e-13,1.22e-11,IMC_grp=2,eGFR_NI,12M
10,113.24 ± 4.04,114.66 ± 5.57,1.42,"[-2.43, 5.28]",0.4879,0.3223,IMC_grp=3,eGFR_idx,12M
4,171.91 ± 25.67,144.74 ± 23.12,-27.18,"[-35.42, -18.93]",0.0075,0.1250,IMC_grp=3,eGFR_NI,12M
541,110.47 ± 15.40,112.95 ± 13.22,2.48,"[1.45, 3.52]",3.01e-06,6.50e-08,Excl_eGFR<60,eGFR_idx,12M
244,134.35 ± 24.20,116.22 ± 19.58,-18.13,"[-20.17, -16.09]",1.03e-44,1.36e-33,Excl_eGFR<60,eGFR_NI,12M
510,108.01 ± 16.67,111.13 ± 12.89,3.12,"[2.15, 4.09]",6.66e-10,1.01e-10,Cr_0.4-3.0,eGFR_idx,12M
228,130.80 ± 26.07,114.17 ± 19.05,-16.63,"[-18.57, -14.69]",9.00e-42,2.27e-31,Cr_0.4-3.0,eGFR_NI,12M
